Date,GDP_Growth,Inflation_Rate,Unemployment_Rate,USD_EUR_Exchange_Rate
2000-01-20,10054.263454545455,169.74545454545455,4.0636363636363635,1.0133
2000-01-21,10057.983772727273,169.77727272727273,4.068181818181818,1.01
2000-01-24,10061.70409090909,169.8090909090909,4.072727272727272,1.0019
2000-01-25,10065.424409090909,169.8409090909091,4.077272727272727,1.0041
2000-01-26,10069.144727272727,169.87272727272727,4.081818181818181,1.0011
2000-01-27,10072.865045454546,169.90454545454546,4.086363636363636,0.989
2000-01-28,10076.585363636363,169.93636363636364,4.090909090909091,0.9765
2000-01-31,10080.305681818181,169.96818181818182,4.095454545454545,0.9757
2000-02-01,10084.026,170.0,4.1,0.9731
2000-02-02,10087.746318181818,170.04761904761904,4.095238095238095,0.9768
2000-02-03,10091.466636363637,170.0952380952381,4.09047619047619,0.9887
2000-02-04,10095.186954545454,170.14285714285714,4.085714285714285,0.976
2000-02-07,10098.907272727272,170.1904761904762,4.080952380952381,0.9783
2000-02-08,10102.627590909091,170.23809523809524,4.076190476190476,0.9862
2000-02-09,10106.34790909091,170.28571428571428,4.071428571428571,0.9914
2000-02-10,10110.068227272726,170.33333333333334,4.066666666666666,0.9865
2000-02-11,10113.788545454545,170.38095238095238,4.061904761904762,0.9847
2000-02-14,10117.508863636363,170.42857142857142,4.057142857142857,0.9783
2000-02-15,10121.229181818182,170.47619047619048,4.052380952380952,0.9834
2000-02-16,10124.949499999999,170.52380952380952,4.0476190476190474,0.9842
2000-02-17,10128.669818181817,170.57142857142858,4.042857142857143,0.9863
2000-02-18,10132.390136363636,170.61904761904762,4.038095238095238,0.985
2000-02-21,10136.110454545455,170.66666666666666,4.033333333333333,0.985
2000-02-22,10139.830772727273,170.71428571428572,4.0285714285714285,1.006
2000-02-23,10143.55109090909,170.76190476190476,4.023809523809524,1.0017
2000-02-24,10147.271409090908,170.8095238095238,4.019047619047619,0.9931
2000-02-25,10150.991727272727,170.85714285714286,4.014285714285714,0.9763
2000-02-28,10154.712045454546,170.9047619047619,4.0095238095238095,0.9669
